Record #,Full Citation,Title,Authors,Journal,Year,DOI,Category,Therapeutic area,Medical Condition,Concept of Interest,Outcome Assessment,Comparator Measure,Technology,Sensor(s),Make and Model,Wear location,Algorithm / Analysis Software,Sample size,Participant age,Participant gender
465,"Author: Cella, M., Okruszek, L., Lawrence, M., Zarlenga, V., He, Z. and Wykes, T.
Year: 2018
Title: Using wearable technology to detect the autonomic signature of illness severity in schizophrenia
Journal: Schizophr Res
Volume: 195
Pages: 537-542
",,,,,,,,,,,,,,,,,,,
487,"Author: Chapman, J. J., Fraser, S. J., Brown, W. J. and Burton, N. W.
Year: 2015
Title: The feasibility and acceptability of questionnaires and accelerometry for measuring physical activity and sedentary behaviour in adults with mental illness
Journal: J Ment Health
Volume: 24
Issue: 5
Pages: 299-304
",,,,,,,,,,,,,,,,,,,
539,"Author: Christensen, C., Haddad, A. and Maus, E.
Year: 2017
Title: Validity of an Accelerometer Used to Measure Step Count in Children With Idiopathic Toe Walking
Journal: Pediatr Phys Ther
Volume: 29
Issue: 2
Pages: 153-157
",,,,,,,,,,,,,,,,,,,
540,"Author: Christiansen, M. P., Garg, S. K., Brazg, R., Bode, B. W., Bailey, T. S., Slover, R. H., Sullivan, A., Huang, S., Shin, J., Lee, S. W. and Kaufman, F. R.
Year: 2017
Title: Accuracy of a Fourth-Generation Subcutaneous Continuous Glucose Sensor
Journal: Diabetes Technol Ther
Volume: 19
Issue: 8
Pages: 446-456
",,,,,,,,,,,,,,,,,,,
556,"Author: Claridge, E. A., McPhee, P. G., Timmons, B. W., Martin Ginis, K. A., Macdonald, M. J. and Gorter, J. W.
Year: 2015
Title: Quantification of Physical Activity and Sedentary Time in Adults with Cerebral Palsy
Journal: Med Sci Sports Exerc
Volume: 47
Issue: 8
Pages: 1719-26
",,,,,,,,,,,,,,,,,,,
571,"Author: Cogan, D., Pouyan, M. B., Nourani, M. and Harvey, J.
Year: 2014
Title: A wrist-worn biosensor system for assessment of neurological status
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2014
Pages: 5748-51
",,,,,,,,,,,,,,,,,,,
574,"Author: Coker-Bolt, P., Downey, R. J., Connolly, J., Hoover, R., Shelton, D. and Seo, N. J.
Year: 2017
Title: Exploring the feasibility and use of acceleromters before, during, and after a camp-based CIMT program for children with cerebral palsy
Journal: J Pediatr Rehabil Med
Volume: 10
Issue: 1
Pages: 27-36
",,,,,,,,,,,,,,,,,,,
576,"Author: Cole, B. T., Roy, S. H., De Luca, C. J. and Nawab, S. H.
Year: 2014
Title: Dynamical learning and tracking of tremor and dyskinesia from wearable sensors
Journal: IEEE Trans Neural Syst Rehabil Eng
Volume: 22
Issue: 5
Pages: 982-91
",,,,,,,,,,,,,,,,,,,
577,"Author: Cole, C. A., Anshari, D., Lambert, V., Thrasher, J. F. and Valafar, H.
Year: 2017
Title: Detecting Smoking Events Using Accelerometer Data Collected Via Smartwatch Technology: Validation Study
Journal: JMIR Mhealth Uhealth
Volume: 5
Issue: 12
Pages: e189
",,,,,,,,,,,,,,,,,,,
593,"Author: Conway, M. R., Marshall, M. R., Schlaff, R. A., Pfeiffer, K. A. and Pivarnik, J. M.
Year: 2018
Title: Physical Activity Device Reliability and Validity during Pregnancy and Postpartum
Journal: Med Sci Sports Exerc
Volume: 50
Issue: 3
Pages: 617-623
",,,,,,,,,,,,,,,,,,,
595,"Author: Cook, J. D., Prairie, M. L. and Plante, D. T.
Year: 2018
Title: Ability of the Multisensory Jawbone UP3 to Quantify and Classify Sleep in Patients With Suspected Central Disorders of Hypersomnolence: A Comparison Against Polysomnography and Actigraphy
Journal: J Clin Sleep Med
Volume: 14
Issue: 5
Pages: 841-848
",,,,,,,,,,,,,,,,,,,
606,"Author: Correa, J. B., Apolzan, J. W., Shepard, D. N., Heil, D. P., Rood, J. C. and Martin, C. K.
Year: 2016
Title: Evaluation of the ability of three physical activity monitors to predict weight change and estimate energy expenditure
Journal: Appl Physiol Nutr Metab
Volume: 41
Issue: 7
Pages: 758-66
",,,,,,,,,,,,,,,,,,,
650,"D. M. and Russell, S. J.
Year: 2014
Title: A comparative effectiveness analysis of three continuous glucose monitors: the Navigator, G4 Platinum, and Enlite
Journal: J Diabetes Sci Technol
Volume: 8
Issue: 4
Pages: 699-708
",,,,,,,,,,,,,,,,,,,
662,"Author: Dawson, A., Loving, R. T., Gordon, R. M., Abel, S. L., Loewy, D., Kripke, D. F. and Kline, L. E.
Year: 2015
Title: Type III home sleep testing versus pulse oximetry: is the respiratory disturbance index better than the oxygen desaturation index to predict the apnoea-hypopnoea index measured during laboratory polysomnography?
Journal: BMJ Open
Volume: 5
Issue: 6
Pages: e007956
",,,,,,,,,,,,,,,,,,,
663,"Author: de Asmundis, C., Conte, G., Sieira, J., Chierchia, G. B., Rodriguez-Manero, M., Di Giovanni, G., Ciconte, G., Levinstein, M., Baltogiannis, G., Saitoh, Y., Casado-Arroyo, R. and Brugada, P.
Year: 2014
Title: Comparison of the patient-activated event recording system vs. traditional 24 h Holter electrocardiography in individuals with paroxysmal palpitations or dizziness
Journal: Europace
Volume: 16
Issue: 8
Pages: 1231-5
",,,,,,,,,,,,,,,,,,,
680,"Author: De Vroey, H., Staes, F., Weygers, I., Vereecke, E., Vanrenterghem, J., Deklerck, J., Van Damme, G., Hallez, H. and Claeys, K.
Year: 2018
Title: The implementation of inertial sensors for the assessment of temporal parameters of gait in the knee arthroplasty population
Journal: Clin Biomech (Bristol, Avon)
Volume: 54
Pages: 22-27
",,,,,,,,,,,,,,,,,,,
687,"Author: Deepu, C. J. and Lian, Y.
Year: 2015
Title: A joint QRS detection and data compression scheme for wearable sensors
Journal: IEEE Trans Biomed Eng
Volume: 62
Issue: 1
Pages: 165-75
",,,,,,,,,,,,,,,,,,,
691,"Author: Del Din, S., Godfrey, A. and Rochester, L.
Year: 2016
Title: Validation of an Accelerometer to Quantify a Comprehensive Battery of Gait Characteristics in Healthy Older Adults and Parkinson's Disease: Toward Clinical and at Home Use
Journal: IEEE J Biomed Health Inform
Volume: 20
Issue: 3
Pages: 838-847
",,,,,,,,,,,,,,,,,,,
702,"Author: Derungs, A., Schuster-Amft, C. and Amft, O.
Year: 2018
Title: Longitudinal Walking Analysis in Hemiparetic Patients Using Wearable Motion Sensors: Is There Convergence Between Body Sides?
Journal: Front Bioeng Biotechnol
Volume: 6
Pages: 57
",,,,,,,,,,,,,,,,,,,
712,"Author: Di Palma, S., Tonacci, A., Narzisi, A., Domenici, C., Pioggia, G., Muratori, F. and Billeci, L.
Year: 2017
Title: Monitoring of autonomic response to sociocognitive tasks during treatment in children with Autism Spectrum Disorders by wearable technologies: A feasibility study
Journal: Comput Biol Med
Volume: 85
Pages: 143-152
",,,,,,,,,,,,,,,,,,,
766,"Author: Downs, J., Leonard, H., Jacoby, P., Brisco, L., Baikie, G. and Hill, K.
Year: 2015
Title: Rett syndrome: establishing a novel outcome measure for walking activity in an era of clinical trials for rare disorders
Journal: Disabil Rehabil
Volume: 37
Issue: 21
Pages: 1992-6
",,,,,,,,,,,,,,,,,,,
793,"Author: Edge, J., Acerini, C., Campbell, F., Hamilton-Shield, J., Moudiotis, C., Rahman, S., Randell, T., Smith, A. and Trevelyan, N.
Year: 2017
Title: An alternative sensor-based method for glucose monitoring in children and young people with diabetes
Journal: Arch Dis Child
Volume: 102
Issue: 6
Pages: 543-549
",,,,,,,,,,,,,,,,,,,
822,"Author: Ellis, K., Kerr, J., Godbole, S., Staudenmayer, J. and Lanckriet, G.
Year: 2016
Title: Hip and Wrist Accelerometer Algorithms for Free-Living Behavior Classification
Journal: Med Sci Sports Exerc
Volume: 48
Issue: 5
Pages: 933-40
",,,,,,,,,,,,,,,,,,,
824,"Author: Ellis, R. J., Ng, Y. S., Zhu, S., Tan, D. M., Anderson, B., Schlaug, G. and Wang, Y.
Year: 2015
Title: A Validated Smartphone-Based Assessment of Gait and Gait Variability in Parkinson's Disease
Journal: PLoS One
Volume: 10
Issue: 10
Pages: e0141694
",,,,,,,,,,,,,,,,,,,
843,"Author: Eskofier, B. M., Lee, S. I., Daneault, J. F., Golabchi, F. N., Ferreira-Carvalho, G., Vergara-Diaz, G., Sapienza, S., Costante, G., Klucken, J., Kautz, T. and Bonato, P.
Year: 2016
Title: Recent machine learning advancements in sensor-based mobility analysis: Deep learning for Parkinson's disease assessment
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2016
Pages: 655-658
",,,,,,,,,,,,,,,,,,,
858,"Author: Faccioli, S., Del Favero, S., Visentin, R., Bonfanti, R., Iafusco, D., Rabbone, I., Marigliano, M., Schiaffini, R., Bruttomesso, D. and Cobelli, C.
Year: 2017
Title: Accuracy of a CGM Sensor in Pediatric Subjects With Type 1 Diabetes. Comparison of Three Insertion Sites: Arm, Abdomen, and Gluteus
Journal: J Diabetes Sci Technol
Volume: 11
Issue: 6
Pages: 1147-1154
",,,,,,,,,,,,,,,,,,,
859,"Author: Faedda, G. L., Ohashi, K., Hernandez, M., McGreenery, C. E., Grant, M. C., Baroni, A., Polcari, A. and Teicher, M. H.
Year: 2016
Title: Actigraph measures discriminate pediatric bipolar disorder from attention-deficit/hyperactivity disorder and typically developing controls
Journal: J Child Psychol Psychiatry
Volume: 57
Issue: 6
Pages: 706-16
",,,,,,,,,,,,,,,,,,,
886,"Author: Feldhege, F., Mau-Moeller, A., Lindner, T., Hein, A., Markschies, A., Zettl, U. K. and Bader, R.
Year: 2015
Title: Accuracy of a custom physical activity and knee angle measurement sensor system for patients with neuromuscular disorders and gait abnormalities
Journal: Sensors (Basel)
Volume: 15
Issue: 5
Pages: 10734-52
",,,,,,,,,,,,,,,,,,,
896,"Author: Ferreira, J. J., Godinho, C., Santos, A. T., Domingos, J., Abreu, D., Lobo, R., Goncalves, N., Barra, M., Larsen, F., Fagerbakke, O., Akeren, I., Wangen, H., Serrano, J. A., Weber, P., Thoms, A., Meckler, S., Sollinger, S., van Uem, J., Hobert, M. A., Maier, K. S., Matthew, H., Isaacs, T., Duffen, J., Graessner, H. and Maetzler, W.
Year: 2015
Title: Quantitative home-based assessment of Parkinson's symptoms: the SENSE-PARK feasibility and usability study
Journal: BMC Neurol
Volume: 15
Pages: 89
",,,,,,,,,,,,,,,,,,,
898,"Author: Ferretti, A., Valeo, L., Mazza, D., Muliere, L., Iorio, P., Giovannetti, G., Conteduca, F. and Iorio, R.
Year: 2014
Title: Smartphone versus knee ligament arthrometer when size does not matter
Journal: Int Orthop
Volume: 38
Issue: 10
Pages: 2197-9
",,,,,,,,,,,,,,,,,,,
905,"Author: Fisher, J. M., Hammerla, N. Y., Ploetz, T., Andras, P., Rochester, L. and Walker, R. W.
Year: 2016
Title: Unsupervised home monitoring of Parkinson's disease motor symptoms using body-worn accelerometers
Journal: Parkinsonism Relat Disord
Volume: 33
Pages: 44-50
",,,,,,,,,,,,,,,,,,,
915,"Author: Fletcher, R. R., Oreskovic, N. M. and Robinson, A. I.
Year: 2014
Title: Design and clinical feasibility of personal wearable monitor for measurement of activity and environmental exposure
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2014
Pages: 874-7
",,,,,,,,,,,,,,,,,,,
922,"Author: Fokkenrood, H. J., Verhofstad, N., van den Houten, M. M., Lauret, G. J., Wittens, C., Scheltinga, M. R. and Teijink, J. A.
Year: 2014
Title: Physical activity monitoring in patients with peripheral arterial disease: validation of an activity monitor
Journal: Eur J Vasc Endovasc Surg
Volume: 48
Issue: 2
Pages: 194-200
",,,,,,,,,,,,,,,,,,,
944,"Author: Fredheim, J. M., Roislien, J. and Hjelmesaeth, J.
Year: 2014
Title: Validation of a portable monitor for the diagnosis of obstructive sleep apnea in morbidly obese patients
Journal: J Clin Sleep Med
Volume: 10
Issue: 7
Pages: 751-7, 757a
",,,,,,,,,,,,,,,,,,,
952,"Author: Fu, T. C., Lin, W. C., Wang, J. S., Wang, C. H., Chang, C. T., Tsai, C. L., Lee, Y. S. and Lin, K. P.
Year: 2017
Title: Detection of exercise periodic breathing using thermal flowmeter in patients with heart failure
Journal: Med Biol Eng Comput
Volume: 55
Issue: 8
Pages: 1189-1198
",,,,,,,,,,,,,,,,,,,
958,"Author: Fulk, G. D., Combs, S. A., Danks, K. A., Nirider, C. D., Raja, B. and Reisman, D. S.
Year: 2014
Title: Accuracy of 2 activity monitors in detecting steps in people with stroke and traumatic brain injury
Journal: Phys Ther
Volume: 94
Issue: 2
Pages: 222-9
",,,,,,,,,,,,,,,,,,,
976,"Author: Gant, K., Bohorquez, J. and Thomas, C. K.
Year: 2017
Title: Long-term recording of electromyographic activity from multiple muscles to monitor physical activity of participants with or without a neurological disorder
Journal: Biomed Tech (Berl)
",,,,,,,,,,,,,,,,,,,
987,"Author: Garcia-Ortiz, L., Recio-Rodriguez, J. I., Agudo-Conde, C., Maderuelo-Fernandez, J. A., Patino Alonso, M. C., de Cabo-Laso, A., Rodriguez-Martin, C., Gonzalez-Sanchez, J., Rodriguez-Sanchez, E. and Gomez-Marcos, M. A.
Year: 2018
Title: Noninvasive validation of central and peripheral augmentation index estimated by a novel wrist-worn tonometer
Journal: J Hypertens
",,,,,,,,,,,,,,,,,,,
1029,"Author: Gilbert, A. L., Lee, J., Ma, M., Semanik, P. A., DiPietro, L., Dunlop, D. D. and Chang, R. W.
Year: 2016
Title: Comparison of Subjective and Objective Measures of Sedentary Behavior Using the Yale Physical Activity Survey and Accelerometry in Patients With Rheumatoid Arthritis
Journal: J Phys Act Health
Volume: 13
Issue: 4
Pages: 371-6
",,,,,,,,,,,,,,,,,,,
1041,"Author: Godfrey, A., Morris, R., Hickey, A. and Del Din, S.
Year: 2016
Title: Beyond the front end: Investigating a thigh worn accelerometer device for step count and bout detection in Parkinson's disease
Journal: Med Eng Phys
Volume: 38
Issue: 12
Pages: 1524-1529
",,,,,,,,,,,,,,,,,,,
1042,"Author: Godfrey, A., Bourke, A., Del Din, S., Morris, R., Hickey, A., Helbostad, J. L. and Rochester, L.
Year: 2016
Title: Towards holistic free-living assessment in Parkinson's disease: Unification of gait and fall algorithms with a single accelerometer
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2016
Pages: 651-654
",,,,,,,,,,,,,,,,,,,
1097,"Author: Grunerbl, A., Muaremi, A., Osmani, V., Bahle, G., Ohler, S., Troster, G., Mayora, O., Haring, C. and Lukowicz, P.
Year: 2015
Title: Smartphone-based recognition of states and state changes in bipolar disorder patients
Journal: IEEE J Biomed Health Inform
Volume: 19
Issue: 1
Pages: 140-8
",,,,,,,,,,,,,,,,,,,
1099,"Author: Gu, Y., Cleeren, E., Dan, J., Claes, K., Van Paesschen, W., Van Huffel, S. and Hunyadi, B.
Year: 2017
Title: Comparison between Scalp EEG and Behind-the-Ear EEG for Development of a Wearable Seizure Detection System for Patients with Focal Epilepsy
Journal: Sensors (Basel)
Volume: 18
Issue: 1
",,,,,,,,,,,,,,,,,,,
1110,"Author: Gundle, K. R., Punt, S. E. and Conrad Iii, E. U.
Year: 2014
Title: Assessment of objective ambulation in lower extremity sarcoma patients with a continuous activity monitor: rationale and validation
Journal: Sarcoma
Volume: 2014
Pages: 947082
",,,,,,,,,,,,,,,,,,,
1130,"Author: Haegele, J. A., Brian, A. S. and Wolf, D.
Year: 2017
Title: Accuracy of the Fitbit Zip for Measuring Steps for Adolescents With Visual Impairments
Journal: Adapt Phys Activ Q
Volume: 34
Issue: 2
Pages: 195-200
",,,,,,,,,,,,,,,,,,,
1200,"Author: Hegde, N., Zhang, T., Uswatte, G., Taub, E., Barman, J., McKay, S., Taylor, A., Morris, D. M., Griffin, A. and Sazonov, E. S.
Year: 2018
Title: The Pediatric SmartShoe: Wearable Sensor System for Ambulatory Monitoring of Physical Activity and Gait
Journal: IEEE Trans Neural Syst Rehabil Eng
Volume: 26
Issue: 2
Pages: 477-486
",,,,,,,,,,,,,,,,,,,
1207,"Author: Heldman, D. A., Espay, A. J., LeWitt, P. A. and Giuffrida, J. P.
Year: 2014
Title: Clinician versus machine: reliability and responsiveness of motor endpoints in Parkinson's disease
Journal: Parkinsonism Relat Disord
Volume: 20
Issue: 6
Pages: 590-5
",,,,,,,,,,,,,,,,,,,
1223,"Author: Hersek, S., Toreyin, H., Teague, C. N., Millard-Stafford, M. L., Jeong, H. K., Bavare, M. M., Wolkoff, P., Sawka, M. N. and Inan, O. T.
Year: 2017
Title: Wearable Vector Electrical Bioimpedance System to Assess Knee Joint Health
Journal: IEEE Trans Biomed Eng
Volume: 64
Issue: 10
Pages: 2353-2360
",,,,,,,,,,,,,,,,,,,
1235,"Author: Hickey, A., Gunn, E., Alcock, L., Del Din, S., Godfrey, A., Rochester, L. and Galna, B.
Year: 2016
Title: Validity of a wearable accelerometer to quantify gait in spinocerebellar ataxia type 6
Journal: Physiol Meas
Volume: 37
Issue: 11
Pages: N105-n117
",,,,,,,,,,,,,,,,,,,
1245,"Author: Hiremath, S. V., Intille, S. S., Kelleher, A., Cooper, R. A. and Ding, D.
Year: 2015
Title: Detection of physical activities using a physical activity monitor system for wheelchair users
Journal: Med Eng Phys
Volume: 37
Issue: 1
Pages: 68-76
",,,,,,,,,,,,,,,,,,,
1251,"Author: Hoban, K., Peden, R., Megaw, R., Halpin, P. and Tatham, A. J.
Year: 2017
Title: 24-Hour Contact Lens Sensor Monitoring of Intraocular Pressure-Related Profiles in Normal-Tension Glaucoma and Rates of Disease Progression
Journal: Ophthalmic Res
Volume: 57
Issue: 4
Pages: 208-215
",,,,,,,,,,,,,,,,,,,
1272,"Author: Hosseini, A., Buonocore, C. M., Hashemzadeh, S., Hojaiji, H., Kalantarian, H., Sideris, C., Bui, A. A. T., King, C. E. and Sarrafzadeh, M.
Year: 2017
Title: Feasibility of a Secure Wireless Sensing Smartwatch Application for the Self-Management of Pediatric Asthma
Journal: Sensors (Basel)
Volume: 17
Issue: 8
",,,,,,,,,,,,,,,,,,,
1279,"Author: Howell, D., Osternig, L. and Chou, L. S.
Year: 2015
Title: Monitoring recovery of gait balance control following concussion using an accelerometer
Journal: J Biomech
Volume: 48
Issue: 12
Pages: 3364-8
",,,,,,,,,,,,,,,,,,,
1285,"Author: Hsu, Y. L., Chung, P. C., Wang, W. H., Pai, M. C., Wang, C. Y., Lin, C. W., Wu, H. L. and Wang, J. S.
Year: 2014
Title: Gait and balance analysis for patients with Alzheimer's disease using an inertial-sensor-based wearable instrument
Journal: IEEE J Biomed Health Inform
Volume: 18
Issue: 6
Pages: 1822-30
",,,,,,,,,,,,,,,,,,,
1305,"Author: Hughes, J., Welsh, J. B., Bhavaraju, N. C., Vanslyke, S. J. and Balo, A. K.
Year: 2017
Title: Stability, Accuracy, and Risk Assessment of a Novel Subcutaneous Glucose Sensor
Journal: Diabetes Technol Ther
Volume: 19
Issue: S3
Pages: S21-s24
",,,,,,,,,,,,,,,,,,,
1307,"Author: Hui, J., Heyden, R., Bao, T., Accettone, N., McBay, C., Richardson, J. and Tang, A.
Year: 2018
Title: Validity of the Fitbit One for Measuring Activity in Community-Dwelling Stroke Survivors
Journal: Physiother Can
Volume: 70
Issue: 1
Pages: 81-89
",,,,,,,,,,,,,,,,,,,
1309,"Author: Hummel, R., Bradley, T. D., Fernie, G. R., Chang, S. J. and Alshaer, H.
Year: 2015
Title: Estimation of sleep status in sleep apnea patients using a novel head actigraphy technique
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2015
Pages: 5416-9
",,,,,,,,,,,,,,,,,,,
1327,"Author: Ilias, T., Filip, B., Radu, C., Dag, N., Marina, S. and Mevludin, M.
Year: 2017
Title: Using measurements from wearable sensors for automatic scoring of Parkinson's disease motor states: Results from 7 patients
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2017
Pages: 131-134
",,,,,,,,,,,,,,,,,,,
1329,"Giladi, N., Mirelman, A. and Hausdorff, J. M.
Year: 2014
Title: Automated detection of missteps during community ambulation in patients with Parkinson's disease: a new approach for quantifying fall risk in the community setting
Journal: J Neuroeng Rehabil
Volume: 11
Pages: 48
",,,,,,,,,,,,,,,,,,,
1332,"Author: Imtiaz, M. H., Ramos-Garcia, R. I., Senyurek, V. Y., Tiffany, S. and Sazonov, E.
Year: 2017
Title: Development of a Multisensory Wearable System for Monitoring Cigarette Smoking Behavior in Free-Living Conditions
Journal: Electronics (Basel)
Volume: 6
Issue: 4
",,,,,,,,,,,,,,,,,,,
1341,"Author: Ireland, D., Wang, Z., Lamont, R. and Liddle, J.
Year: 2016
Title: Classification of Movement of People with Parkinsons Disease Using Wearable Inertial Movement Units and Machine Learning
Journal: Stud Health Technol Inform
Volume: 227
Pages: 61-6
",,,,,,,,,,,,,,,,,,,
1350,"Author: Jacquemin, C., Servy, H., Molto, A., Sellam, J., Foltz, V., Gandjbakhch, F., Hudry, C., Mitrovic, S., Fautrel, B. and Gossec, L.
Year: 2018
Title: Physical Activity Assessment Using an Activity Tracker in Patients with Rheumatoid Arthritis and Axial Spondyloarthritis: Prospective Observational Study
Journal: JMIR Mhealth Uhealth
Volume: 6
Issue: 1
Pages: e1
",,,,,,,,,,,,,,,,,,,
1354,"Author: Jagos, H., Pils, K., Haller, M., Wassermann, C., Chhatwal, C., Rafolt, D. and Rattay, F.
Year: 2017
Title: Mobile gait analysis via eSHOEs instrumented shoe insoles: a pilot study for validation against the gold standard GAITRite((R))
Journal: J Med Eng Technol
Volume: 41
Issue: 5
Pages: 375-386
",,,,,,,,,,,,,,,,,,,
1367,"Author: Jarchi, D., Lo, B., Wong, C., Ieong, E., Nathwani, D. and Yang, G. Z.
Year: 2016
Title: Gait Analysis From a Single Ear-Worn Sensor: Reliability and Clinical Evaluation for Orthopaedic Patients
Journal: IEEE Trans Neural Syst Rehabil Eng
Volume: 24
Issue: 8
Pages: 882-92
",,,,,,,,,,,,,,,,,,,
1371,"Author: Javaid, A. Q., Noble, C. M., Rosenberg, R. and Weitnauer, M. A.
Year: 2016
Title: Towards detection of sleep apnea events by combining different non-contact measurement modalities
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2016
Pages: 5307-5310",,,,,,,,,,,,,,,,,,,
1372,"Author: Jayaraman, C., Mummidisetty, C. K., Mannix-Slobig, A., McGee Koch, L. and Jayaraman, A.
Year: 2018
Title: Variables influencing wearable sensor outcome estimates in individuals with stroke and incomplete spinal cord injury: a pilot investigation validating two research grade sensors
Journal: J Neuroeng Rehabil
Volume: 15
Issue: 1
Pages: 19
",,,,,,,,,,,,,,,,,,,
1375,"Author: Jeffery, E., Lee, Y. G., McVeigh, J., Straker, L., Wooding, T., Newton, R. U. and Peddle-McIntyre, C.
Year: 2017
Title: Feasibility of objectively measured physical activity and sedentary behavior in patients with malignant pleural effusion
Journal: Support Care Cancer
Volume: 25
Issue: 10
Pages: 3133-3141
",,,,,,,,,,,,,,,,,,,
1376,"Author: Jeon, H., Lee, W., Park, H., Lee, H. J., Kim, S. K., Kim, H. B., Jeon, B. and Park, K. S.
Year: 2017
Title: Automatic Classification of Tremor Severity in Parkinson's Disease Using a Wearable Device
Journal: Sensors (Basel)
Volume: 17
Issue: 9
",,,,,,,,,,,,,,,,,,,
1377,"Author: Jeon, H., Lee, W., Park, H., Lee, H. J., Kim, S. K., Kim, H. B., Jeon, B. and Park, K. S.
Year: 2017
Title: High-accuracy automatic classification of Parkinsonian tremor severity using machine learning method
Journal: Physiol Meas
Volume: 38
Issue: 11
Pages: 1980-1999
",,,,,,,,,,,,,,,,,,,
1390,"Author: Jiang, P., Zhu, R., Dong, X. and Chang, Y.
Year: 2018
Title: Combination mode of physiological signals for diagnosis of OSAS using portable monitor
Journal: Sleep Breath
Volume: 22
Issue: 1
Pages: 123-129
",,,,,,,,,,,,,,,,,,,
1392,"Author: Jina, A., Tierney, M. J., Tamada, J. A., McGill, S., Desai, S., Chua, B., Chang, A. and Christiansen, M.
Year: 2014
Title: Design, development, and evaluation of a novel microneedle array-based continuous glucose monitor
Journal: J Diabetes Sci Technol
Volume: 8
Issue: 3
Pages: 483-7
",,,,,,,,,,,,,,,,,,,
1424,"Author: Jung da, W., Hwang, S. H., Lee, Y. J., Jeong, D. U. and Park, K. S.
Year: 2016
Title: Oxygen Desaturation Index Estimation through Unconstrained Cardiac Sympathetic Activity Assessment Using Three Ballistocardiographic Systems
Journal: Respiration
Volume: 92
Issue: 2
Pages: 90-7
",,,,,,,,,,,,,,,,,,,
1444,"Author: Kalcik, M., Yesin, M., Gursoy, M. O., Gunduz, S., Karakoyun, S., Astarcioglu, M. A., Bayam, E., Cersit, S. and Ozkan, M.
Year: 2017
Title: Comparison of the INR Values Measured by CoaguChek XS Coagulometer and Conventional Laboratory Methods in Patients on VKA Therapy
Journal: Clin Appl Thromb Hemost
Volume: 23
Issue: 2
Pages: 187-194
",,,,,,,,,,,,,,,,,,,
1472,"Author: Keawutan, P., Bell, K. L., Oftedal, S., Davies, P. S. and Boyd, R. N.
Year: 2016
Title: Validation of Accelerometer Cut-Points in Children With Cerebral Palsy Aged 4 to 5 Years
Journal: Pediatr Phys Ther
Volume: 28
Issue: 4
Pages: 427-34
",,,,,,,,,,,,,,,,,,,
1479,"Author: Kerr, J., Carlson, J., Godbole, S., Cadmus-Bertram, L., Bellettiere, J. and Hartman, S.
Year: 2018
Title: Improving Hip-Worn Accelerometer Estimates of Sitting Using Machine Learning Methods
Journal: Med Sci Sports Exerc
Volume: 50
Issue: 7
Pages: 1518-1524
",,,,,,,,,,,,,,,,,,,
1500,"Author: Kim, H. B., Lee, H. J., Lee, W. W., Kim, S. K., Jeon, H. S., Park, H. Y., Shin, C. W., Yi, W. J., Jeon, B. and Park, K. S.
Year: 2018
Title: Validation of Freezing-of-Gait Monitoring Using Smartphone
Journal: Telemed J E Health
",,,,,,,,,,,,,,,,,,,
1510,"Author: Kim, K. J., Agrawal, V., Bennett, C., Gaunaurd, I., Feigenbaum, L. and Gailey, R.
Year: 2018
Title: Measurement of lower limb segmental excursion using inertial sensors during single limb stance
Journal: J Biomech
Volume: 71
Pages: 151-158
",,,,,,,,,,,,,,,,,,,
1529,"Author: Kinoshita, T., Yahaba, M., Terada, J., Matsumura, T., Sakurai, Y., Nagashima, K., Sakao, S. and Tatsumi, K.
Year: 2018
Title: Impact of Arterial Stiffness on WatchPAT Variables in Patients With Obstructive Sleep Apnea
Journal: J Clin Sleep Med
Volume: 14
Issue: 3
Pages: 319-325
",,,,,,,,,,,,,,,,,,,
1533,"Author: Kiral-Kornek, I., Roy, S., Nurse, E., Mashford, B., Karoly, P., Carroll, T., Payne, D., Saha, S., Baldassano, S., O'Brien, T., Grayden, D., Cook, M., Freestone, D. and Harrer, S.
Year: 2018
Title: Epileptic Seizure Prediction Using Big Data and Deep Learning: Toward a Mobile System
Journal: EBioMedicine
Volume: 27
Pages: 103-111
",,,,,,,,,,,,,,,,,,,
1548,"Author: Kluge, F., Gassner, H., Hannink, J., Pasluosta, C., Klucken, J. and Eskofier, B. M.
Year: 2017
Title: Towards Mobile Gait Analysis: Concurrent Validity and Test-Retest Reliability of an Inertial Measurement System for the Assessment of Spatio-Temporal Gait Parameters
Journal: Sensors (Basel)
Volume: 17
Issue: 7
",,,,,,,,,,,,,,,,,,,
1560,"Author: Koene, S., Dirks, I., van Mierlo, E., de Vries, P. R., Janssen, Ajwm, Smeitink, J. A. M., Bergsma, A., Essers, H., Meijer, K. and de Groot, I. J. M.
Year: 2017
Title: Domains of Daily Physical Activity in Children with Mitochondrial Disease: A 3D Accelerometry Approach
Journal: JIMD Rep
Volume: 36
Pages: 7-17
",,,,,,,,,,,,,,,,,,,
